Issue Key,Test Summary,Priority,ExecutionStatus,ExecutionDefects,CreationDate,OrderId,Step,Test Data,Expected Result,Step Result,Project,Version,Executed By,Executed On
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,5,Modify Job title value. Add a value with 100 characters.,"Use special, alphabetic and numeric characters.",Job title field is editable and allows 100 characters. New value was added.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,6,Add a value with 101 characters into Job title field.,"Use special, alphabetic and numeric characters.","Job title field allows only 100 characters, cannot type 101st character.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,7,Modify From and To values typing the value.,Use a different format: dd-mm-yyyy,From and To fields does not allow typing.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,8,Modify From and To values using calendar icon. Choose different year and month.,,From and To values are editable. New values are added in yyyy/mm/dd format.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,9,Modify Comment value. Add a value with 255 characters.,"Use special, alphabetic and numeric characters.",Comment field is editable and allows 255 characters.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,10,Add a value with 256 characters into Comment field.,,Comment field doesn't allow more than 255 characters. A warning message is displayed.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-26,[Work experience] - Verify that work experience can be edited,Medium,FAIL,"FPR-40,FPR-36,FPR-37,FPR-38,FPR-39 | FPR-40,FPR-36,FPR-37,FPR-38,FPR-39",5/10/2022 10:36,11,Click Save button.,,User is informed that modifications were saved.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:58
FPR-23,[Work experience] - Verify that Comment field allows maximum 255 characters,Medium,FAIL,FPR-40 | FPR-40,5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:28
FPR-23,[Work experience] - Verify that Comment field allows maximum 255 characters,Medium,FAIL,FPR-40 | FPR-40,5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:28
FPR-23,[Work experience] - Verify that Comment field allows maximum 255 characters,Medium,FAIL,FPR-40 | FPR-40,5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:28
FPR-23,[Work experience] - Verify that Comment field allows maximum 255 characters,Medium,FAIL,FPR-40 | FPR-40,5/10/2022 10:36,4,Fill in Company and Job title.,,Company and Job title are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:28
FPR-23,[Work experience] - Verify that Comment field allows maximum 255 characters,Medium,FAIL,FPR-40 | FPR-40,5/10/2022 10:36,5,Fill in 255 characters into Comment field.,"Use special characters, numbers and letters.",255 characters were allowed.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:28
FPR-23,[Work experience] - Verify that Comment field allows maximum 255 characters,Medium,FAIL,FPR-40 | FPR-40,5/10/2022 10:36,6,Fill in 256 characters into Comment field.,"Use special characters, numbers and letters.",A message is displayed. Permitted length is exceeded.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:28
FPR-22,[Work experience] - Verify that From and To fields are optional,Medium,PASS,,5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:33
FPR-22,[Work experience] - Verify that From and To fields are optional,Medium,PASS,,5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:33
FPR-22,[Work experience] - Verify that From and To fields are optional,Medium,PASS,,5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:33
FPR-22,[Work experience] - Verify that From and To fields are optional,Medium,PASS,,5/10/2022 10:36,4,Fill in Company and Job title.,,Company and Job title are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:33
FPR-22,[Work experience] - Verify that From and To fields are optional,Medium,PASS,,5/10/2022 10:36,5,Press save.,,New work experience is added.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:33
FPR-19,[Work experience] - Verify that From field is date type,Medium,FAIL,"FPR-36,FPR-37 | FPR-36,FPR-37",5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 11:57
FPR-19,[Work experience] - Verify that From field is date type,Medium,FAIL,"FPR-36,FPR-37 | FPR-36,FPR-37",5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 11:57
FPR-19,[Work experience] - Verify that From field is date type,Medium,FAIL,"FPR-36,FPR-37 | FPR-36,FPR-37",5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 11:57
FPR-19,[Work experience] - Verify that From field is date type,Medium,FAIL,"FPR-36,FPR-37 | FPR-36,FPR-37",5/10/2022 10:36,4,Fill in Company and Job title.,,Company and Job title are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 11:57
FPR-19,[Work experience] - Verify that From field is date type,Medium,FAIL,"FPR-36,FPR-37 | FPR-36,FPR-37",5/10/2022 10:36,5,Type date into From field.,Type various date formats:  dd-mm-yyyy dd.mm.yyyy yyyy/mm/dd,User should not be allowed to type date.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 11:57
FPR-19,[Work experience] - Verify that From field is date type,Medium,FAIL,"FPR-36,FPR-37 | FPR-36,FPR-37",5/10/2022 10:36,6,Select date for From field using calendar icon. Choose different month and year than current date.,,Calendar icon is enabled for selection. Year and months can be changed. From field is populated with selected date in format yyyy/mm/dd.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 11:57
FPR-19,[Work experience] - Verify that From field is date type,Medium,FAIL,"FPR-36,FPR-37 | FPR-36,FPR-37",5/10/2022 10:36,7,Press Save button.,,New Work Experience is added and From value is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 11:57
FPR-30,"[Work experience] - Verify ""add"" and ""delete"" buttons visibility",Medium,PASS,,5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:11
FPR-30,"[Work experience] - Verify ""add"" and ""delete"" buttons visibility",Medium,PASS,,5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:11
FPR-30,"[Work experience] - Verify ""add"" and ""delete"" buttons visibility",Medium,PASS,,5/10/2022 10:36,3,"Go to Work experience section and check if ""add"" button is visible.",,"""Add"" button is visible and selectable.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:11
FPR-30,"[Work experience] - Verify ""add"" and ""delete"" buttons visibility",Medium,PASS,,5/10/2022 10:36,4,Check if delete button is visible when no entry is added.,,"""Delete"" button is hidden.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:11
FPR-30,"[Work experience] - Verify ""add"" and ""delete"" buttons visibility",Medium,PASS,,5/10/2022 10:36,5,"Check if ""delete"" button is visible when at least one entry is added.",,"""Delete"" button is visible and selectable.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:11
FPR-28,[Work experience] - Verify that multiple work experiences can be deleted,Medium,PASS,,5/10/2022 10:36,1,Precondition:  Run test case #FPR-22,,,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:22
FPR-28,[Work experience] - Verify that multiple work experiences can be deleted,Medium,PASS,,5/10/2022 10:36,2,Add multiple work experiences (FPR-22).,,Multiple work experiences were added.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:22
FPR-28,[Work experience] - Verify that multiple work experiences can be deleted,Medium,PASS,,5/10/2022 10:36,3,Verify delete button is visible.,,Delete button is visible and selectable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:22
FPR-28,[Work experience] - Verify that multiple work experiences can be deleted,Medium,PASS,,5/10/2022 10:36,4,Select multiple entries (select check-box) and press delete button.,,Selected entries are successfully deleted. User will be inform that entries were deleted.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:22
FPR-25,[Work experience] - Verify that multiple entries can be added.,Medium,PASS,,5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:36
FPR-25,[Work experience] - Verify that multiple entries can be added.,Medium,PASS,,5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:36
FPR-25,[Work experience] - Verify that multiple entries can be added.,Medium,PASS,,5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:36
FPR-25,[Work experience] - Verify that multiple entries can be added.,Medium,PASS,,5/10/2022 10:36,4,Fill in Company and Job title.,,Company and Job title are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:36
FPR-25,[Work experience] - Verify that multiple entries can be added.,Medium,PASS,,5/10/2022 10:36,5,Press Save button.,,New work experienced is saved. User is informed that information was saved.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:36
FPR-25,[Work experience] - Verify that multiple entries can be added.,Medium,PASS,,5/10/2022 10:36,6,Repeat steps 3-5.,,Many entries were added.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:36
FPR-17,[Work experience] - Verify that job title field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:43
FPR-17,[Work experience] - Verify that job title field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:43
FPR-17,[Work experience] - Verify that job title field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:43
FPR-17,[Work experience] - Verify that job title field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:36,4,"Fill in Job title field using all type of characters (numbers, alphabetical and special).",,All type of characters are permitted.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:43
FPR-17,[Work experience] - Verify that job title field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:36,5,Fill in a value with 100 characters.,,100 characters are allowed.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:43
FPR-17,[Work experience] - Verify that job title field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:36,6,Fill in a value with 101 characters.,,"When 100 characters are reached, user cannot type more characters.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:43
FPR-20,[Work experience] - Verify that To field is date type,Medium,FAIL,"FPR-38,FPR-39 | FPR-38,FPR-39",5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:18
FPR-20,[Work experience] - Verify that To field is date type,Medium,FAIL,"FPR-38,FPR-39 | FPR-38,FPR-39",5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:18
FPR-20,[Work experience] - Verify that To field is date type,Medium,FAIL,"FPR-38,FPR-39 | FPR-38,FPR-39",5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:18
FPR-20,[Work experience] - Verify that To field is date type,Medium,FAIL,"FPR-38,FPR-39 | FPR-38,FPR-39",5/10/2022 10:36,4,Fill in Company and Job title.,,Company and Job title are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:18
FPR-20,[Work experience] - Verify that To field is date type,Medium,FAIL,"FPR-38,FPR-39 | FPR-38,FPR-39",5/10/2022 10:36,5,Type date into To field.,Type various date formats:  dd-mm-yyyy dd.mm.yyyy yyyy/mm/dd,User should not be allowed to type date.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:18
FPR-20,[Work experience] - Verify that To field is date type,Medium,FAIL,"FPR-38,FPR-39 | FPR-38,FPR-39",5/10/2022 10:36,6,Select date for To field using calendar icon. Choose different month and year than current date.,,Calendar icon is enabled for selection. Year and months can be changed. To field is populated with selected date in format yyyy/mm/dd.,FAIL,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:18
FPR-20,[Work experience] - Verify that To field is date type,Medium,FAIL,"FPR-38,FPR-39 | FPR-38,FPR-39",5/10/2022 10:36,7,Press Save button.,,New Work Experience is added and To value is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:18
FPR-29,"[Work experience] - Verify that ""select all"" check box works as expected",Medium,PASS,,5/10/2022 10:36,1,Precondition:  Run test case #FPR-22,,,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:26
FPR-29,"[Work experience] - Verify that ""select all"" check box works as expected",Medium,PASS,,5/10/2022 10:36,2,"Check ""select all"" checkbox.",,All entries are selected.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:26
FPR-27,[Work experience] - Verify that work experience can be deleted,Medium,PASS,,5/10/2022 10:36,1,Precondition:  Run test case #FPR-22,,,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:02
FPR-27,[Work experience] - Verify that work experience can be deleted,Medium,PASS,,5/10/2022 10:36,2,Verify delete button is visible.,,Delete button is visible and selectable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:02
FPR-27,[Work experience] - Verify that work experience can be deleted,Medium,PASS,,5/10/2022 10:36,3,Select added entry (select check-box) and press delete button.,,Entry is selected. Entry is successfully delete and user will be inform that entry was deleted.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:02
FPR-21,[Work experience] - Verify that From and To fields don't allow future dates,Medium,PASS,,5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:30
FPR-21,[Work experience] - Verify that From and To fields don't allow future dates,Medium,PASS,,5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:30
FPR-21,[Work experience] - Verify that From and To fields don't allow future dates,Medium,PASS,,5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:30
FPR-21,[Work experience] - Verify that From and To fields don't allow future dates,Medium,PASS,,5/10/2022 10:36,4,Fill in Company and Job title.,,Company and Job title are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:30
FPR-21,[Work experience] - Verify that From and To fields don't allow future dates,Medium,PASS,,5/10/2022 10:36,5,Select date for From field using calendar icon.,Choose a future date.,Future dates are not allowed.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:30
FPR-21,[Work experience] - Verify that From and To fields don't allow future dates,Medium,PASS,,5/10/2022 10:36,6,Select date for To field using calendar icon.,Choose a future date.,Future dates are not allowed.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 12:30
FPR-24,[Work experience] - Verify that Comment field is optional,Medium,PASS,,5/10/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:31
FPR-24,[Work experience] - Verify that Comment field is optional,Medium,PASS,,5/10/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:31
FPR-24,[Work experience] - Verify that Comment field is optional,Medium,PASS,,5/10/2022 10:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:31
FPR-24,[Work experience] - Verify that Comment field is optional,Medium,PASS,,5/10/2022 10:36,4,Fill in Company and Job title.,,Company and Job title are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:31
FPR-24,[Work experience] - Verify that Comment field is optional,Medium,PASS,,5/10/2022 10:36,5,Press Save button.,,New work experienced is saved. User is informed that information was saved.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 11:31
FPR-16,[Work experience] - Verify that company field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:51,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:59
FPR-16,[Work experience] - Verify that company field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:51,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:59
FPR-16,[Work experience] - Verify that company field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:51,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:59
FPR-16,[Work experience] - Verify that company field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:51,4,"Fill in Company field using all type of characters (numbers, alphabetical and special).",,All type of characters are permitted.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:59
FPR-16,[Work experience] - Verify that company field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:51,5,Fill in a value with 100 characters.,,100 characters are allowed.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:59
FPR-16,[Work experience] - Verify that company field allows max 100 characters and is string type.,Medium,PASS,,5/10/2022 10:51,6,Fill in a value with 101 characters.,,"When 100 characters are reached, user cannot type more characters.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:59
FPR-15,[Work experience] - Verify that company field is a mandatory field.,Medium,PASS,,5/10/2022 10:51,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:56
FPR-15,[Work experience] - Verify that company field is a mandatory field.,Medium,PASS,,5/10/2022 10:51,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:56
FPR-15,[Work experience] - Verify that company field is a mandatory field.,Medium,PASS,,5/10/2022 10:51,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:56
FPR-15,[Work experience] - Verify that company field is a mandatory field.,Medium,PASS,,5/10/2022 10:51,4,Fill in all fields except Company.,,All fields are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:56
FPR-15,[Work experience] - Verify that company field is a mandatory field.,Medium,PASS,,5/10/2022 10:51,5,Press Save button.,,"A warning message ""Required"" is displayed below Company field.",PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:56
FPR-15,[Work experience] - Verify that company field is a mandatory field.,Medium,PASS,,5/10/2022 10:51,6,Fill in Company field and press Save.,,Company field is editable. New Work Experience is added.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/10/2022 10:56
FPR-41,"[Work experience] - Verify that ""From"" and ""To"" fields don't allows future date",Medium,FAIL,"FPR-42,FPR-43 | FPR-42,FPR-43",5/11/2022 12:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:53
FPR-41,"[Work experience] - Verify that ""From"" and ""To"" fields don't allows future date",Medium,FAIL,"FPR-42,FPR-43 | FPR-42,FPR-43",5/11/2022 12:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:53
FPR-41,"[Work experience] - Verify that ""From"" and ""To"" fields don't allows future date",Medium,FAIL,"FPR-42,FPR-43 | FPR-42,FPR-43",5/11/2022 12:36,3,Go to Work experience section and press Add button.,,Work experience section is visible. Add button is enabled. Add Work Experience form is opened.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:53
FPR-41,"[Work experience] - Verify that ""From"" and ""To"" fields don't allows future date",Medium,FAIL,"FPR-42,FPR-43 | FPR-42,FPR-43",5/11/2022 12:36,4,Fill in Company and Job title.,,Company and Job title are editable.,PASS,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/11/2022 12:53
