Issue Key,Test Summary,Priority,ExecutionStatus,ExecutionDefects,CreationDate,OrderId,Step,Test Data,Expected Result,Step Result,Comments,Project,Version,Executed By,Executed On
FPR-107,[License] - Verify that License entry can be edited,Medium,FAIL,"FPR-137,FPR-138,FPR-139 | FPR-137,FPR-138,FPR-139",5/17/2022 23:47,11,Click Save button.,,User is informed that modifications were saved.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:04
FPR-108,[License] - Verify that a License entry can be deleted,Medium,PASS,,5/17/2022 23:47,1,Precondition:  Run test case #FPR-106,,,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:05
FPR-108,[License] - Verify that a License entry can be deleted,Medium,PASS,,5/17/2022 23:47,2,Verify delete button is visible.,,Delete button is visible and selectable.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:05
FPR-108,[License] - Verify that a License entry can be deleted,Medium,PASS,,5/17/2022 23:47,3,Select one added entry (select check-box) and press delete button.,,Entry is selected. Entry is successfully delete and user will be inform that entry was deleted.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:05
FPR-99,"[License] - Verify that ""License Number"" field is mandatory",Medium,FAIL,FPR-136 | FPR-136,5/17/2022 23:47,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:28
FPR-99,"[License] - Verify that ""License Number"" field is mandatory",Medium,FAIL,FPR-136 | FPR-136,5/17/2022 23:47,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:28
FPR-99,"[License] - Verify that ""License Number"" field is mandatory",Medium,FAIL,FPR-136 | FPR-136,5/17/2022 23:47,3,"Go to ""License"" section and press Add button.",,"""License"" section is visible. Add button is enabled. ""Add License"" form is opened.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:28
FPR-99,"[License] - Verify that ""License Number"" field is mandatory",Medium,FAIL,FPR-136 | FPR-136,5/17/2022 23:47,4,"Fill in all fields except ""License Number"".",,All fields are editable.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:28
FPR-99,"[License] - Verify that ""License Number"" field is mandatory",Medium,FAIL,FPR-136 | FPR-136,5/17/2022 23:47,5,Press Save button.,,"A warning message ""Required"" is displayed below ""License Number"".",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:28
FPR-99,"[License] - Verify that ""License Number"" field is mandatory",Medium,FAIL,FPR-136 | FPR-136,5/17/2022 23:47,6,"Fill in ""License Number"" field and press Save.",,"""License Number"" field is filled in. New License is added successfully.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:28
FPR-61,[Education] - Verify that  GPA/Score field is string type,Medium,FAIL,FPR-112 | FPR-112,5/17/2022 22:29,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:04
FPR-61,[Education] - Verify that  GPA/Score field is string type,Medium,FAIL,FPR-112 | FPR-112,5/17/2022 22:29,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:04
FPR-61,[Education] - Verify that  GPA/Score field is string type,Medium,FAIL,FPR-112 | FPR-112,5/17/2022 22:29,3,Go to Education section and press Add button.,,Education section is visible. Add button is enabled. Add Education form is opened.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:04
FPR-61,[Education] - Verify that  GPA/Score field is string type,Medium,FAIL,FPR-112 | FPR-112,5/17/2022 22:29,4,"Fill in  GPA/Score field using all type of characters (numbers, alphabetical and special).",,All type of characters are permitted.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:04
FPR-61,[Education] - Verify that  GPA/Score field is string type,Medium,FAIL,FPR-112 | FPR-112,5/17/2022 22:29,5,Fill in a value with 100 characters.,,100 characters are allowed.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:04
FPR-61,[Education] - Verify that  GPA/Score field is string type,Medium,FAIL,FPR-112 | FPR-112,5/17/2022 22:29,6,Fill in a value with 101 characters.,,"When 100 characters are reached, user cannot type more characters.",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:04
FPR-102,"[License] - Verify that ""Expiry Date"" field is optional",Medium,PASS,,5/17/2022 23:47,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:35
FPR-102,"[License] - Verify that ""Expiry Date"" field is optional",Medium,PASS,,5/17/2022 23:47,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:35
FPR-102,"[License] - Verify that ""Expiry Date"" field is optional",Medium,PASS,,5/17/2022 23:47,3,"Go to ""License"" section and press Add button.",,"""License"" section is visible. Add button is enabled. ""Add License"" form is opened.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:35
FPR-102,"[License] - Verify that ""Expiry Date"" field is optional",Medium,PASS,,5/17/2022 23:47,4,"Fill in all fields except ""Expiry Date"" field.",,All fields are filled in.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:35
FPR-102,"[License] - Verify that ""Expiry Date"" field is optional",Medium,PASS,,5/17/2022 23:47,5,Press Save.,,New License is saved. User is informed that information was saved.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 15:35
FPR-104,"[License] - Verify that ""Expiry Date"" field is date type",Medium,FAIL,FPR-138 | FPR-138,5/17/2022 23:47,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:48
FPR-104,"[License] - Verify that ""Expiry Date"" field is date type",Medium,FAIL,FPR-138 | FPR-138,5/17/2022 23:47,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:48
FPR-104,"[License] - Verify that ""Expiry Date"" field is date type",Medium,FAIL,FPR-138 | FPR-138,5/17/2022 23:47,3,"Go to ""License"" section and press Add button.",,"""License"" section is visible. Add button is enabled. ""Add License"" form is opened.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:48
FPR-104,"[License] - Verify that ""Expiry Date"" field is date type",Medium,FAIL,FPR-138 | FPR-138,5/17/2022 23:47,4,"Fill in ""License Type"" and ""License Number"" fields.",,"""License Type"" and ""License Number"" are editable.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:48
FPR-104,"[License] - Verify that ""Expiry Date"" field is date type",Medium,FAIL,FPR-138 | FPR-138,5/17/2022 23:47,5,"Type date into ""Expiry Date"" field.",Type various date formats:  dd-mm-yyyy dd.mm.yyyy yyyy/mm/dd,User should not be allowed to type date.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:48
FPR-104,"[License] - Verify that ""Expiry Date"" field is date type",Medium,FAIL,FPR-138 | FPR-138,5/17/2022 23:47,6,"Select date for ""Expiry Date"" field using calendar icon.  Choose different month and year than current date.",,"Calendar icon is enabled for selection. Year and months can be changed.  ""Expiry Date"" field is populated with selected date in format yyyy-mm-dd.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:48
FPR-104,"[License] - Verify that ""Expiry Date"" field is date type",Medium,FAIL,FPR-138 | FPR-138,5/17/2022 23:47,7,Press Save button.,,"New License is added and ""Expiry Date"" value is visible.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:48
FPR-120,"[Attachments] - Verify that ""Comment"" field is optional",Medium,PASS,,5/19/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:26
FPR-120,"[Attachments] - Verify that ""Comment"" field is optional",Medium,PASS,,5/19/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:26
FPR-120,"[Attachments] - Verify that ""Comment"" field is optional",Medium,PASS,,5/19/2022 10:36,3,"Go to ""Attachments"" section and press Add button.",,"""Attachments"" section is visible. Add button is enabled. ""Add Attachment"" form is opened.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:26
FPR-120,"[Attachments] - Verify that ""Comment"" field is optional",Medium,PASS,,5/19/2022 10:36,4,"Press ""Browse"" button and select a file under 1 Mb.",,"""Upload"" window is opened. The file can be selected.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:26
FPR-120,"[Attachments] - Verify that ""Comment"" field is optional",Medium,PASS,,5/19/2022 10:36,5,"Press ""Upload"" button.",,"The file is uploaded successfully. ""Comment"" is an optional field.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 17:26
FPR-144,"[License] - Verify that ""Expiry Date"" field cannot be set earlier than ""Issued Date"" field",Medium,FAIL,FPR-147 | FPR-147,5/22/2022 19:03,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 19:36
FPR-144,"[License] - Verify that ""Expiry Date"" field cannot be set earlier than ""Issued Date"" field",Medium,FAIL,FPR-147 | FPR-147,5/22/2022 19:03,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 19:36
FPR-144,"[License] - Verify that ""Expiry Date"" field cannot be set earlier than ""Issued Date"" field",Medium,FAIL,FPR-147 | FPR-147,5/22/2022 19:03,3,Go to License section and press Add button.,,License section is visible. Add button is enabled. Add License form is opened.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 19:36
FPR-144,"[License] - Verify that ""Expiry Date"" field cannot be set earlier than ""Issued Date"" field",Medium,FAIL,FPR-147 | FPR-147,5/22/2022 19:03,4,"Fill in ""License Type"" and ""License Number"" fields.",,"""License Type"" and ""License Number"" are editable.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 19:36
FPR-144,"[License] - Verify that ""Expiry Date"" field cannot be set earlier than ""Issued Date"" field",Medium,FAIL,FPR-147 | FPR-147,5/22/2022 19:03,5,"Select date for ""Issued Date"" field using calendar icon. Choose different month and year than current date.",,"Calendar icon is enabled for selection. Year and months can be changed. ""Issued Date"" field is populated with selected date in format yyyy-mm-dd.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 19:36
FPR-144,"[License] - Verify that ""Expiry Date"" field cannot be set earlier than ""Issued Date"" field",Medium,FAIL,FPR-147 | FPR-147,5/22/2022 19:03,6,"Select date for ""Expiry Date"" field using calendar icon. The date should be earlier than ""Issued Date"" date.",,"Calendar icon is enabled for selection.  A date for ""Expiry Date"" field earlier than ""Issued Date"" is not allowed.",FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 19:36
FPR-64,[Education] - Verify that Start Date and End Date fields don't allow future dates,Medium,FAIL,"FPR-115,FPR-116 | FPR-115,FPR-116",5/17/2022 22:29,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:37
FPR-64,[Education] - Verify that Start Date and End Date fields don't allow future dates,Medium,FAIL,"FPR-115,FPR-116 | FPR-115,FPR-116",5/17/2022 22:29,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:37
FPR-64,[Education] - Verify that Start Date and End Date fields don't allow future dates,Medium,FAIL,"FPR-115,FPR-116 | FPR-115,FPR-116",5/17/2022 22:29,3,Go to Education section and press Add button.,,Education section is visible. Add button is enabled. Add Education form is opened.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:37
FPR-64,[Education] - Verify that Start Date and End Date fields don't allow future dates,Medium,FAIL,"FPR-115,FPR-116 | FPR-115,FPR-116",5/17/2022 22:29,4,Select date for Start Date field using calendar icon.,Choose a future date.,Future dates are not allowed.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:37
FPR-64,[Education] - Verify that Start Date and End Date fields don't allow future dates,Medium,FAIL,"FPR-115,FPR-116 | FPR-115,FPR-116",5/17/2022 22:29,5,Select date for End Date field using calendar icon.,Choose a future date.,Future dates are not allowed.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:37
FPR-67,[Education] - Verify that multiple entries can be added,Medium,PASS,,5/17/2022 22:29,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:43
FPR-67,[Education] - Verify that multiple entries can be added,Medium,PASS,,5/17/2022 22:29,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:43
FPR-67,[Education] - Verify that multiple entries can be added,Medium,PASS,,5/17/2022 22:29,3,Go to Education section and press Add button.,,Education section is visible. Add button is enabled. Add Education form is opened.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:43
FPR-67,[Education] - Verify that multiple entries can be added,Medium,PASS,,5/17/2022 22:29,4,Fill in Level field.,,Level field is filled in.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:43
FPR-67,[Education] - Verify that multiple entries can be added,Medium,PASS,,5/17/2022 22:29,5,Press Save button.,,New education is saved. User is informed that information was saved.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:43
FPR-67,[Education] - Verify that multiple entries can be added,Medium,PASS,,5/17/2022 22:29,6,Repeat steps 3-5.,,Multiple entries were added.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:43
FPR-71,[Skills] - Verify that Skill field is a mandatory field.,Medium,PASS,,5/17/2022 22:29,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 17:32
FPR-71,[Skills] - Verify that Skill field is a mandatory field.,Medium,PASS,,5/17/2022 22:29,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 17:32
FPR-71,[Skills] - Verify that Skill field is a mandatory field.,Medium,PASS,,5/17/2022 22:29,3,Go to Skills section and press Add button.,,Skills section is visible. Add button is enabled. Add Skill form is opened.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 17:32
FPR-71,[Skills] - Verify that Skill field is a mandatory field.,Medium,PASS,,5/17/2022 22:29,4,Fill in all fields except Skill.,,All fields are editable.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 17:32
FPR-71,[Skills] - Verify that Skill field is a mandatory field.,Medium,PASS,,5/17/2022 22:29,5,Press Save button.,,"A warning message ""Required"" is displayed below Level field.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 17:32
FPR-71,[Skills] - Verify that Skill field is a mandatory field.,Medium,PASS,,5/17/2022 22:29,6,Fill in Skill field and press Save.,,Skill field is filled in. New Skill is added.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 17:32
FPR-73,[Skills] - Verify that Years of Experience field is string type,Medium,FAIL,FPR-131 | FPR-131,5/17/2022 22:29,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 19:18
FPR-73,[Skills] - Verify that Years of Experience field is string type,Medium,FAIL,FPR-131 | FPR-131,5/17/2022 22:29,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 19:18
FPR-73,[Skills] - Verify that Years of Experience field is string type,Medium,FAIL,FPR-131 | FPR-131,5/17/2022 22:29,3,Go to Skills section and press Add button.,,Skills section is visible. Add button is enabled. Add Skill form is opened.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 19:18
FPR-73,[Skills] - Verify that Years of Experience field is string type,Medium,FAIL,FPR-131 | FPR-131,5/17/2022 22:29,4,"Fill in ""Years of Experience"" field using all type of characters (numbers, alphabetical and special).",,All type of characters are permitted.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 19:18
FPR-73,[Skills] - Verify that Years of Experience field is string type,Medium,FAIL,FPR-131 | FPR-131,5/17/2022 22:29,5,Fill in a value with 100 characters.,,100 characters are allowed.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 19:18
FPR-73,[Skills] - Verify that Years of Experience field is string type,Medium,FAIL,FPR-131 | FPR-131,5/17/2022 22:29,6,Fill in a value with 101 characters.,,"When 100 characters are reached, user cannot type more characters.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/19/2022 19:18
FPR-105,"[License] - Verify that ""Issued Date"" field don't allow future date",Medium,FAIL,FPR-139 | FPR-139,5/17/2022 23:47,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:54
FPR-105,"[License] - Verify that ""Issued Date"" field don't allow future date",Medium,FAIL,FPR-139 | FPR-139,5/17/2022 23:47,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:54
FPR-105,"[License] - Verify that ""Issued Date"" field don't allow future date",Medium,FAIL,FPR-139 | FPR-139,5/17/2022 23:47,3,"Go to ""License"" section and press Add button.",,"""License"" section is visible. Add button is enabled. ""Add License"" form is opened.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:54
FPR-105,"[License] - Verify that ""Issued Date"" field don't allow future date",Medium,FAIL,FPR-139 | FPR-139,5/17/2022 23:47,4,"Select date for ""Issued Date"" field using calendar icon.",Choose a future date.,Future dates are not allowed.,FAIL,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/20/2022 16:54
FPR-123,[Attachments] - Verify that all files extensions are permitted,Medium,PASS,,5/19/2022 10:36,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 18:20
FPR-123,[Attachments] - Verify that all files extensions are permitted,Medium,PASS,,5/19/2022 10:36,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 18:20
FPR-123,[Attachments] - Verify that all files extensions are permitted,Medium,PASS,,5/19/2022 10:36,3,"Go to ""Attachments"" section and press Add button.",,"""Attachments"" section is visible. Add button is enabled. ""Add Attachment"" form is opened.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 18:20
FPR-123,[Attachments] - Verify that all files extensions are permitted,Medium,PASS,,5/19/2022 10:36,4,"Press ""Browse"" button and select a file with pdf/doc/xls extension under 1Mb.",,"""Upload"" window is opened. The file can be selected.",PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 18:20
FPR-123,[Attachments] - Verify that all files extensions are permitted,Medium,PASS,,5/19/2022 10:36,5,"Press ""Upload"" button.",,The file is uploaded successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 18:20
FPR-123,[Attachments] - Verify that all files extensions are permitted,Medium,PASS,,5/19/2022 10:36,6,Repeat steps 3-5 selecting a file with avi/mp4/gif extension under 1Mb.,,File is successfully uploaded.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 18:20
FPR-123,[Attachments] - Verify that all files extensions are permitted,Medium,PASS,,5/19/2022 10:36,7,Repeat steps 3-5 selecting a file with jpeg/png extension under 1Mb.,,File is successfully uploaded.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/22/2022 18:20
FPR-62,[Education] - Verify that Start Date field is date type,Medium,FAIL,FPR-113 | FPR-113,5/17/2022 22:29,1,Log in to https://opensource-demo.orangehrmlive.com/index.php/auth/login,Username : Admin  Password : admin123,Login successfully.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:14
FPR-62,[Education] - Verify that Start Date field is date type,Medium,FAIL,FPR-113 | FPR-113,5/17/2022 22:29,2,Select My Info tab and Qualifications option (left side menu).,,Qualifications area is visible.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:14
FPR-62,[Education] - Verify that Start Date field is date type,Medium,FAIL,FPR-113 | FPR-113,5/17/2022 22:29,3,Go to Education section and press Add button.,,Education section is visible. Add button is enabled. Add Education form is opened.,PASS,,Final Project RAZVAN,Unscheduled,Razvan Olaru,5/18/2022 1:14
